Epoch:9/10 || Epochiter: 88/403 || Iter: 3312/4030 || Loc: 1.7186 Cla: 2.0714 Landm: 4.1084 || LR: 0.00100000 || Batchtime: 0.8886 s || ETA: 0:10:38
Epoch:9/10 || Epochiter: 89/403 || Iter: 3313/4030 || Loc: 1.0608 Cla: 1.4219 Landm: 3.1636 || LR: 0.00100000 || Batchtime: 1.1200 s || ETA: 0:13:24
Epoch:9/10 || Epochiter: 90/403 || Iter: 3314/4030 || Loc: 1.2957 Cla: 1.7401 Landm: 4.1399 || LR: 0.00100000 || Batchtime: 1.0382 s || ETA: 0:12:24
Epoch:9/10 || Epochiter: 91/403 || Iter: 3315/4030 || Loc: 1.1316 Cla: 1.6833 Landm: 3.9414 || LR: 0.00100000 || Batchtime: 1.0283 s || ETA: 0:12:16
Epoch:9/10 || Epochiter: 92/403 || Iter: 3316/4030 || Loc: 0.9946 Cla: 1.6147 Landm: 2.1557 || LR: 0.00100000 || Batchtime: 0.9156 s || ETA: 0:10:54
Epoch:9/10 || Epochiter: 93/403 || Iter: 3317/4030 || Loc: 0.7519 Cla: 1.3176 Landm: 2.6483 || LR: 0.00100000 || Batchtime: 1.1908 s || ETA: 0:14:10
Epoch:9/10 || Epochiter: 94/403 || Iter: 3318/4030 || Loc: 1.2114 Cla: 1.7327 Landm: 3.0859 || LR: 0.00100000 || Batchtime: 1.0013 s || ETA: 0:11:53
Epoch:9/10 || Epochiter: 95/403 || Iter: 3319/4030 || Loc: 1.6200 Cla: 2.1682 Landm: 3.9306 || LR: 0.00100000 || Batchtime: 1.2018 s || ETA: 0:14:15
Epoch:9/10 || Epochiter: 96/403 || Iter: 3320/4030 || Loc: 1.0217 Cla: 1.4649 Landm: 2.9434 || LR: 0.00100000 || Batchtime: 1.0532 s || ETA: 0:12:28
Epoch:9/10 || Epochiter: 97/403 || Iter: 3321/4030 || Loc: 1.0235 Cla: 1.3887 Landm: 3.7911 || LR: 0.00100000 || Batchtime: 1.0662 s || ETA: 0:12:36
Epoch:9/10 || Epochiter: 98/403 || Iter: 3322/4030 || Loc: 0.9749 Cla: 1.4970 Landm: 2.5823 || LR: 0.00100000 || Batchtime: 0.9814 s || ETA: 0:11:35
Epoch:9/10 || Epochiter: 99/403 || Iter: 3323/4030 || Loc: 1.3517 Cla: 1.8803 Landm: 2.7871 || LR: 0.00100000 || Batchtime: 1.0173 s || ETA: 0:12:00
Epoch:9/10 || Epochiter: 100/403 || Iter: 3324/4030 || Loc: 1.2139 Cla: 1.8502 Landm: 3.4393 || LR: 0.00100000 || Batchtime: 1.0552 s || ETA: 0:12:26
Epoch:9/10 || Epochiter: 101/403 || Iter: 3325/4030 || Loc: 1.0617 Cla: 1.6186 Landm: 3.5008 || LR: 0.00100000 || Batchtime: 1.3454 s || ETA: 0:15:49
Epoch:9/10 || Epochiter: 102/403 || Iter: 3326/4030 || Loc: 1.2789 Cla: 1.9491 Landm: 3.2709 || LR: 0.00100000 || Batchtime: 1.2237 s || ETA: 0:14:22
Epoch:9/10 || Epochiter: 103/403 || Iter: 3327/4030 || Loc: 1.1362 Cla: 1.7914 Landm: 2.3592 || LR: 0.00100000 || Batchtime: 0.9595 s || ETA: 0:11:15
Epoch:9/10 || Epochiter: 104/403 || Iter: 3328/4030 || Loc: 0.8651 Cla: 1.5368 Landm: 3.4026 || LR: 0.00100000 || Batchtime: 1.0801 s || ETA: 0:12:39
Epoch:9/10 || Epochiter: 105/403 || Iter: 3329/4030 || Loc: 1.5319 Cla: 2.0027 Landm: 4.0699 || LR: 0.00100000 || Batchtime: 0.8537 s || ETA: 0:09:59
Epoch:9/10 || Epochiter: 106/403 || Iter: 3330/4030 || Loc: 1.4786 Cla: 2.0333 Landm: 4.6373 || LR: 0.00100000 || Batchtime: 1.0721 s || ETA: 0:12:31
Epoch:9/10 || Epochiter: 107/403 || Iter: 3331/4030 || Loc: 1.3072 Cla: 1.7802 Landm: 3.1624 || LR: 0.00100000 || Batchtime: 0.9943 s || ETA: 0:11:36
Epoch:9/10 || Epochiter: 108/403 || Iter: 3332/4030 || Loc: 1.0243 Cla: 1.5147 Landm: 3.0745 || LR: 0.00100000 || Batchtime: 1.0621 s || ETA: 0:12:22
Epoch:9/10 || Epochiter: 109/403 || Iter: 3333/4030 || Loc: 1.3389 Cla: 1.7337 Landm: 3.1611 || LR: 0.00100000 || Batchtime: 0.8557 s || ETA: 0:09:57
Epoch:9/10 || Epochiter: 110/403 || Iter: 3334/4030 || Loc: 1.0877 Cla: 1.7249 Landm: 4.2816 || LR: 0.00100000 || Batchtime: 0.9115 s || ETA: 0:10:35
Epoch:9/10 || Epochiter: 111/403 || Iter: 3335/4030 || Loc: 1.1829 Cla: 1.6254 Landm: 3.0545 || LR: 0.00100000 || Batchtime: 1.2487 s || ETA: 0:14:29
Epoch:9/10 || Epochiter: 112/403 || Iter: 3336/4030 || Loc: 0.9929 Cla: 1.4658 Landm: 2.6502 || LR: 0.00100000 || Batchtime: 1.1699 s || ETA: 0:13:33
Epoch:9/10 || Epochiter: 113/403 || Iter: 3337/4030 || Loc: 1.2744 Cla: 1.9045 Landm: 4.8074 || LR: 0.00100000 || Batchtime: 1.0941 s || ETA: 0:12:39
Epoch:9/10 || Epochiter: 114/403 || Iter: 3338/4030 || Loc: 1.2899 Cla: 1.9459 Landm: 4.0307 || LR: 0.00100000 || Batchtime: 0.8617 s || ETA: 0:09:57
Epoch:9/10 || Epochiter: 115/403 || Iter: 3339/4030 || Loc: 1.0075 Cla: 1.6174 Landm: 2.4805 || LR: 0.00100000 || Batchtime: 0.9395 s || ETA: 0:10:50
Epoch:9/10 || Epochiter: 116/403 || Iter: 3340/4030 || Loc: 1.2053 Cla: 1.8609 Landm: 3.3544 || LR: 0.00100000 || Batchtime: 0.9325 s || ETA: 0:10:44
Epoch:9/10 || Epochiter: 117/403 || Iter: 3341/4030 || Loc: 1.2184 Cla: 1.6660 Landm: 4.8774 || LR: 0.00100000 || Batchtime: 0.9594 s || ETA: 0:11:01
Epoch:9/10 || Epochiter: 118/403 || Iter: 3342/4030 || Loc: 1.0272 Cla: 1.6988 Landm: 2.1465 || LR: 0.00100000 || Batchtime: 1.0053 s || ETA: 0:11:32
Epoch:9/10 || Epochiter: 119/403 || Iter: 3343/4030 || Loc: 1.1760 Cla: 1.5174 Landm: 3.1012 || LR: 0.00100000 || Batchtime: 1.1629 s || ETA: 0:13:20
